t dd no-dd
9.300000000000000000e+01 6.063485145568847656e+00 6.179913520812988281e+00
9.400000000000000000e+01 6.063463687896728516e+00 6.172683238983154297e+00
9.600000000000000000e+01 6.063409328460693359e+00 6.158604621887207031e+00
9.700000000000000000e+01 6.063376426696777344e+00 6.151709079742431641e+00
9.900000000000000000e+01 6.063333511352539062e+00 6.138359546661376953e+00
1.000000000000000000e+02 6.063318252563476562e+00 6.131846904754638672e+00
1.020000000000000000e+02 6.063281059265136719e+00 6.119221210479736328e+00
1.030000000000000000e+02 6.063264369964599609e+00 6.113037586212158203e+00
1.050000000000000000e+02 6.063236236572265625e+00 6.101063728332519531e+00
1.070000000000000000e+02 6.063210487365722656e+00 6.089496612548828125e+00
1.080000000000000000e+02 6.063201904296875000e+00 6.083897590637207031e+00
1.100000000000000000e+02 6.063181877136230469e+00 6.072931289672851562e+00
1.120000000000000000e+02 6.063164710998535156e+00 6.062307357788085938e+00
1.140000000000000000e+02 6.063149452209472656e+00 6.052105903625488281e+00
1.150000000000000000e+02 6.063140869140625000e+00 6.047138690948486328e+00
1.170000000000000000e+02 6.063129425048828125e+00 6.037401676177978516e+00
1.190000000000000000e+02 6.063118934631347656e+00 6.028057098388671875e+00
1.210000000000000000e+02 6.063109874725341797e+00 6.019602775573730469e+00
1.230000000000000000e+02 6.063101768493652344e+00 6.011820793151855469e+00
1.250000000000000000e+02 6.063094615936279297e+00 6.004272460937500000e+00
1.270000000000000000e+02 6.063088417053222656e+00 5.997286319732666016e+00
1.290000000000000000e+02 6.063082695007324219e+00 5.990999221801757812e+00
1.310000000000000000e+02 6.063077926635742188e+00 5.984957218170166016e+00
1.330000000000000000e+02 6.063074111938476562e+00 5.979105949401855469e+00
1.350000000000000000e+02 6.063071250915527344e+00 5.973433017730712891e+00
1.370000000000000000e+02 6.063067436218261719e+00 5.967927455902099609e+00
1.390000000000000000e+02 6.063065052032470703e+00 5.962578773498535156e+00
1.410000000000000000e+02 6.063062667846679688e+00 5.957393169403076172e+00
1.430000000000000000e+02 6.063060760498046875e+00 5.952349185943603516e+00
1.460000000000000000e+02 6.063057899475097656e+00 5.945061206817626953e+00
1.480000000000000000e+02 6.063056468963623047e+00 5.940424919128417969e+00
1.500000000000000000e+02 6.063055515289306641e+00 5.935974121093750000e+00
1.530000000000000000e+02 6.063054084777832031e+00 5.929513931274414062e+00
1.550000000000000000e+02 6.063053607940673828e+00 5.925364971160888672e+00
1.570000000000000000e+02 6.063051700592041016e+00 5.921298027038574219e+00
1.600000000000000000e+02 6.063051223754882812e+00 5.915392398834228516e+00
1.620000000000000000e+02 6.063050746917724609e+00 5.911564826965332031e+00
1.650000000000000000e+02 6.063049793243408203e+00 5.906035900115966797e+00
1.670000000000000000e+02 6.063049316406250000e+00 5.902455329895019531e+00
1.700000000000000000e+02 6.063049316406250000e+00 5.897236347198486328e+00
1.730000000000000000e+02 6.063048839569091797e+00 5.892221450805664062e+00
1.750000000000000000e+02 6.063047885894775391e+00 5.888988018035888672e+00
1.780000000000000000e+02 6.063047885894775391e+00 5.884299278259277344e+00
1.810000000000000000e+02 6.063047885894775391e+00 5.879766464233398438e+00
1.840000000000000000e+02 6.063047885894775391e+00 5.875438213348388672e+00
1.870000000000000000e+02 6.063047885894775391e+00 5.871223926544189453e+00
1.900000000000000000e+02 6.063047885894775391e+00 5.867150306701660156e+00
1.930000000000000000e+02 6.063047885894775391e+00 5.863244533538818359e+00
1.960000000000000000e+02 6.063047885894775391e+00 5.859456062316894531e+00
1.990000000000000000e+02 6.063047885894775391e+00 5.855815410614013672e+00
2.020000000000000000e+02 6.063047409057617188e+00 5.852313995361328125e+00
2.050000000000000000e+02 6.063046932220458984e+00 5.848922729492187500e+00
2.080000000000000000e+02 6.063046932220458984e+00 5.845669746398925781e+00
2.110000000000000000e+02 6.063047409057617188e+00 5.842527866363525391e+00
2.150000000000000000e+02 6.063046932220458984e+00 5.838499069213867188e+00
2.180000000000000000e+02 6.063047409057617188e+00 5.835622787475585938e+00
2.210000000000000000e+02 6.063046932220458984e+00 5.832815647125244141e+00
2.250000000000000000e+02 6.063046932220458984e+00 5.829245567321777344e+00
2.280000000000000000e+02 6.063047409057617188e+00 5.826661586761474609e+00
2.320000000000000000e+02 6.063046932220458984e+00 5.823367118835449219e+00
2.360000000000000000e+02 6.063046932220458984e+00 5.820199966430664062e+00
2.390000000000000000e+02 6.063046932220458984e+00 5.817905902862548828e+00
2.430000000000000000e+02 6.063046932220458984e+00 5.814993858337402344e+00
2.470000000000000000e+02 6.063046932220458984e+00 5.812180042266845703e+00
2.510000000000000000e+02 6.063047409057617188e+00 5.809491157531738281e+00
2.550000000000000000e+02 6.063046932220458984e+00 5.806908607482910156e+00
2.590000000000000000e+02 6.063047409057617188e+00 5.804426193237304688e+00
2.630000000000000000e+02 6.063047409057617188e+00 5.802049636840820312e+00
2.670000000000000000e+02 6.063046932220458984e+00 5.799772262573242188e+00
2.710000000000000000e+02 6.063046932220458984e+00 5.797572612762451172e+00
2.750000000000000000e+02 6.063046932220458984e+00 5.795469760894775391e+00
2.790000000000000000e+02 6.063047409057617188e+00 5.793452739715576172e+00
2.840000000000000000e+02 6.063046932220458984e+00 5.791034698486328125e+00
2.880000000000000000e+02 6.063047409057617188e+00 5.789182662963867188e+00
2.930000000000000000e+02 6.063047409057617188e+00 5.786976337432861328e+00
2.970000000000000000e+02 6.063047409057617188e+00 5.785284042358398438e+00
3.020000000000000000e+02 6.063047409057617188e+00 5.783246517181396484e+00
3.070000000000000000e+02 6.063047409057617188e+00 5.781316757202148438e+00
3.110000000000000000e+02 6.063046932220458984e+00 5.779839038848876953e+00
3.160000000000000000e+02 6.063046932220458984e+00 5.778069972991943359e+00
3.210000000000000000e+02 6.063046932220458984e+00 5.776404380798339844e+00
3.260000000000000000e+02 6.063046932220458984e+00 5.774952888488769531e+00
3.310000000000000000e+02 6.063046932220458984e+00 5.773557186126708984e+00
3.360000000000000000e+02 6.063046932220458984e+00 5.772226333618164062e+00
3.420000000000000000e+02 6.063047409057617188e+00 5.770701885223388672e+00
3.470000000000000000e+02 6.063046932220458984e+00 5.769487380981445312e+00
3.530000000000000000e+02 6.063046932220458984e+00 5.768116474151611328e+00
3.580000000000000000e+02 6.063047409057617188e+00 5.767017364501953125e+00
3.640000000000000000e+02 6.063047409057617188e+00 5.765770435333251953e+00
3.690000000000000000e+02 6.063046932220458984e+00 5.764776706695556641e+00
3.750000000000000000e+02 6.063047409057617188e+00 5.763644218444824219e+00
3.810000000000000000e+02 6.063046932220458984e+00 5.762565135955810547e+00
3.870000000000000000e+02 6.063046932220458984e+00 5.761545181274414062e+00
3.930000000000000000e+02 6.063046932220458984e+00 5.760574817657470703e+00
